"age","workclass","fnlwgt","education","education.num","marital.status","occupation","relationship","race","sex","capital.gain","capital.loss","hours.per.week","native.country","income"
52,3,276515,10,13,1,9,1,5,2,0,0,40,3,1
46,3,51618,12,9,1,9,6,5,1,0,0,40,3,1
59,3,159937,12,9,1,13,1,5,2,0,0,48,3,1
44,3,343591,12,9,3,4,2,5,1,14344,0,40,3,2
53,3,346253,12,9,3,13,4,5,1,0,0,35,3,1
49,5,268234,12,9,1,12,1,5,2,0,0,40,3,2
33,3,202051,13,14,1,11,1,5,2,0,0,50,3,1
30,3,54334,7,5,2,13,2,5,2,0,0,40,3,1
43,2,410867,11,16,2,11,2,5,1,0,0,50,3,2
57,3,249977,9,11,1,11,1,5,2,0,0,40,3,1
37,3,286730,16,10,3,4,5,5,1,0,0,40,3,1
28,3,212563,16,10,3,8,5,3,1,0,0,25,3,1
30,3,117747,12,9,1,13,6,2,1,0,1573,35,4,1
34,5,226296,10,13,1,12,1,5,2,0,0,40,3,2
29,5,115585,16,10,2,7,2,5,2,0,0,50,3,1
48,4,191277,11,16,1,11,1,5,2,0,1902,60,3,2
37,3,202683,16,10,1,13,1,5,2,0,0,48,3,2
48,3,171095,8,12,3,5,5,5,1,0,0,40,2,1
32,2,249409,12,9,2,9,4,3,2,0,0,40,3,1
76,3,124191,13,14,1,5,1,5,2,0,0,40,3,2
44,3,198282,10,13,1,5,1,5,2,15024,0,60,3,2
47,4,149116,13,14,2,11,2,5,1,0,0,50,3,1
20,3,188300,16,10,2,14,4,5,1,0,0,40,3,1
29,3,103432,12,9,2,4,2,5,2,0,0,40,3,1
32,4,317660,12,9,1,4,1,5,2,7688,0,40,3,2
30,3,194901,2,7,2,7,4,5,2,0,0,40,3,1
31,5,189265,12,9,2,2,2,5,1,0,0,40,3,1
42,3,124692,12,9,1,7,1,5,2,0,0,40,3,1
24,3,432376,10,13,2,13,3,5,2,0,0,40,3,1
38,3,65324,15,15,1,11,1,5,2,0,0,40,3,2
56,4,335605,12,9,1,9,1,5,2,0,1887,50,3,2
28,3,377869,16,10,1,13,6,5,1,4064,0,25,3,1
36,3,102864,12,9,2,8,4,5,1,0,0,40,3,1
53,3,95647,7,5,1,7,1,5,2,0,0,50,3,1
56,4,303090,16,10,1,13,1,5,2,0,0,50,3,1
49,5,197371,9,11,1,4,1,3,2,0,0,40,3,2
55,3,247552,16,10,1,13,1,5,2,0,0,56,3,1
22,3,102632,12,9,2,4,2,5,2,0,0,41,3,1
21,3,199915,16,10,2,9,4,5,1,0,0,40,3,1
40,3,118853,10,13,1,5,1,5,2,0,0,60,3,1
30,3,77143,10,13,2,5,4,3,2,0,0,40,2,1
29,5,267989,10,13,1,11,1,5,2,0,0,50,3,2
19,3,301606,16,10,2,9,4,3,2,0,0,35,3,1
47,3,287828,10,13,1,5,6,5,1,0,0,40,3,2
20,3,111697,16,10,2,2,4,5,1,0,1719,28,3,1
31,3,114937,8,12,1,2,1,5,2,0,0,40,3,2
39,3,365739,16,10,3,4,2,5,2,0,0,40,3,1
28,3,69621,8,12,2,13,2,5,1,0,0,60,3,1
24,3,43323,12,9,2,9,2,5,1,0,1762,40,3,1
38,4,120985,12,9,1,4,1,5,2,4386,0,35,3,1
37,3,254202,10,13,1,13,1,5,2,0,0,50,3,1
46,3,146195,8,12,3,14,2,3,1,0,0,36,3,1
38,2,125933,13,14,1,11,1,5,2,0,0,40,1,2
43,4,56920,12,9,1,4,1,5,2,0,0,60,3,1
27,3,163127,9,11,1,2,6,5,1,0,0,35,3,1
20,3,34310,16,10,2,13,4,5,2,0,0,20,3,1
49,3,81973,16,10,1,4,1,2,2,0,0,40,3,2
61,4,66614,12,9,1,4,1,5,2,0,0,40,3,1
27,3,232782,16,10,2,13,4,5,1,0,0,40,3,1
19,3,316868,16,10,2,9,4,5,2,0,0,30,3,1
45,3,196584,9,11,2,11,2,5,1,0,1564,40,3,2
70,3,105376,16,10,2,14,3,5,2,0,0,40,3,1
31,3,185814,12,9,2,15,5,3,1,0,0,30,3,1
22,3,175374,16,10,1,9,1,5,2,0,0,24,3,1
36,3,108293,12,9,3,9,5,5,1,0,0,24,3,1
64,3,181232,2,7,1,4,1,5,2,0,2179,40,3,1
47,5,186009,16,10,3,2,5,5,1,0,0,38,3,1
34,3,198183,12,9,2,2,2,5,1,0,0,40,3,1
33,3,163003,10,13,2,5,3,2,1,0,0,40,1,1
21,3,296158,12,9,2,4,4,5,2,0,0,35,3,1
48,3,187715,12,9,1,4,1,5,2,0,0,46,3,1
23,3,214542,10,13,2,7,2,5,2,0,0,40,3,1
71,4,494223,16,10,3,13,5,3,2,0,1816,2,3,1
29,3,191535,12,9,3,4,2,5,2,0,0,60,3,1
42,3,228456,10,13,3,9,3,3,2,0,0,50,3,1
25,3,252752,12,9,2,9,5,5,1,0,0,40,3,1
44,4,78374,13,14,3,5,5,2,1,0,0,40,3,1
28,3,88419,12,9,2,5,2,2,1,0,0,40,2,1
45,4,201080,13,14,1,13,1,5,2,0,0,40,3,2
36,3,207157,16,10,3,9,5,5,1,0,0,40,3,1
39,2,235485,8,12,2,5,2,5,2,0,0,42,3,1
46,5,102628,13,14,3,12,5,5,2,0,0,40,3,1
18,3,25828,2,7,2,7,4,5,2,0,0,16,3,1
66,5,54826,9,11,3,11,2,5,1,0,0,20,3,1
27,3,124953,12,9,2,9,2,5,2,0,1980,40,3,1
28,5,175325,12,9,1,12,1,5,2,0,0,40,3,1
51,3,96062,16,10,1,13,1,5,2,0,1977,40,3,2
27,3,428030,10,13,2,4,2,5,2,0,0,50,3,1
28,5,149624,10,13,1,11,1,5,2,0,0,40,3,2
27,3,253814,12,9,1,13,5,5,1,0,0,25,3,1
21,3,312956,12,9,2,4,4,3,2,0,0,40,3,1
34,3,483777,12,9,2,7,2,3,2,0,0,40,3,1
18,3,183930,12,9,2,9,4,5,2,0,0,12,3,1
33,3,37274,10,13,1,11,1,5,2,0,0,65,3,1
44,5,181344,16,10,1,5,1,3,2,0,0,38,3,2
43,3,114580,16,10,3,2,2,5,1,0,0,40,3,1
30,3,633742,16,10,2,4,2,3,2,0,0,45,3,1
40,3,286370,6,4,1,8,1,5,2,0,0,40,3,2
37,2,29054,16,10,1,2,1,5,2,0,0,42,3,2
34,3,304030,12,9,1,2,1,3,2,0,0,40,3,1
41,4,143129,10,13,3,5,2,5,1,0,0,40,3,1
31,3,99928,13,14,1,11,6,5,1,0,0,50,3,1
58,5,109567,11,16,1,11,1,5,2,0,0,1,3,2
38,3,155222,16,10,3,8,2,3,1,0,0,28,3,1
24,3,159567,16,10,1,8,1,5,2,0,0,40,3,1
41,5,523910,10,13,1,4,1,3,2,0,0,40,3,1
47,3,120939,16,10,1,14,1,5,2,0,0,45,3,1
41,2,130760,10,13,1,14,1,5,2,0,0,24,3,1
23,3,197387,5,3,1,15,3,5,2,0,0,40,3,1
36,3,99374,16,10,3,4,2,5,2,0,0,40,3,1
40,2,56795,13,14,2,5,2,5,1,14084,0,55,3,2
35,3,138992,13,14,1,11,3,5,2,7298,0,40,3,2
24,4,32921,12,9,2,13,2,5,2,0,0,40,3,1
26,3,397317,13,14,2,11,2,5,1,0,1876,40,3,1
51,3,259323,10,13,1,5,1,5,2,0,0,50,3,2
42,5,254817,16,10,2,11,2,5,1,0,1340,40,3,1
37,5,48211,12,9,3,2,5,5,1,0,0,35,3,1
18,3,140164,2,7,2,13,4,5,1,0,0,40,3,1
36,3,128757,10,13,1,9,1,3,2,7298,0,36,3,2
35,3,36270,12,9,3,4,2,5,2,0,0,60,3,1
58,4,210563,12,9,1,13,6,5,1,15024,0,35,3,2
17,3,65368,2,7,2,13,4,5,1,0,0,12,3,1
44,5,160943,12,9,1,15,1,3,2,0,0,40,3,1
37,3,208358,12,9,1,4,1,5,2,0,0,40,3,2
35,3,153790,16,10,2,13,2,1,1,0,0,40,3,1
60,3,85815,12,9,1,4,1,2,2,0,0,40,3,1
54,4,125417,6,4,1,8,1,5,2,0,0,40,3,2
37,3,635913,10,13,2,5,2,3,2,0,0,60,3,2
50,3,313321,8,12,3,13,2,5,1,0,0,40,3,1
38,3,182609,10,13,1,13,1,5,2,0,0,50,2,1
45,3,109434,10,13,1,11,1,5,2,0,0,55,3,1
25,3,255004,1,6,2,4,2,5,2,0,0,40,3,1
31,3,197860,16,10,1,7,1,5,2,0,0,40,3,1
90,3,51744,12,9,2,9,2,3,2,0,2206,40,3,1
54,3,176681,12,9,1,2,1,3,2,0,0,20,3,1
53,5,140359,14,1,2,8,2,5,1,0,0,35,3,1
18,3,243313,12,9,2,13,4,5,1,0,0,40,3,1
66,4,167687,12,9,1,6,1,5,2,1409,0,50,3,1
75,3,314209,9,11,3,2,2,5,1,0,0,20,5,1
65,3,176796,12,9,3,2,2,5,1,0,0,40,3,1
35,3,538583,2,7,3,15,2,3,2,3674,0,40,3,1
41,3,130408,12,9,3,13,5,3,1,0,0,38,3,1
25,3,159732,16,10,2,2,2,5,2,0,0,42,3,1
33,3,110978,16,10,3,4,3,4,1,0,0,40,3,1
28,3,76714,15,15,2,11,2,5,2,0,0,55,3,2
59,5,268700,12,9,1,9,1,5,2,0,0,40,3,1
40,5,170525,16,10,2,2,2,5,1,0,0,38,3,1
41,3,180138,10,13,1,5,1,5,2,0,0,50,1,2
38,5,115076,13,14,1,5,1,5,2,0,0,70,3,2
23,3,115458,12,9,2,15,4,5,2,0,0,40,3,1
40,3,347890,10,13,1,11,1,5,2,0,0,40,3,2
41,4,196001,12,9,1,9,6,5,1,0,0,20,3,1
24,5,273905,8,12,1,12,1,5,2,0,0,50,3,1
38,3,179488,16,10,3,4,2,5,2,0,1741,40,3,1
56,3,203580,12,9,1,2,1,5,2,0,0,35,4,1
58,3,236596,12,9,1,2,1,5,2,0,0,45,3,2
32,3,183916,12,9,2,9,2,5,1,0,0,34,3,1
40,3,207578,8,12,1,14,1,5,2,0,1977,60,3,2
45,3,153141,12,9,1,2,1,5,2,0,0,40,4,1
41,3,112763,15,15,1,11,6,5,1,0,0,40,3,2
42,3,390781,10,13,1,2,6,3,1,0,0,40,3,1
59,5,171328,1,6,3,9,5,3,1,0,0,30,3,1
19,5,27382,16,10,2,2,4,5,2,0,0,40,3,1
58,3,259014,16,10,2,15,2,5,2,0,0,20,3,1
42,4,303044,12,9,1,6,1,2,2,0,0,40,1,2
20,3,117789,12,9,2,9,4,5,1,0,0,40,3,1
32,3,172579,12,9,3,9,2,5,1,0,0,30,3,1
45,3,187666,9,11,3,5,2,5,1,0,0,45,3,1
50,3,204518,6,4,3,4,2,5,2,0,0,40,3,1
36,3,150042,10,13,3,11,4,5,1,0,0,40,3,1
45,3,98092,12,9,1,13,1,5,2,0,0,60,3,1
17,3,245918,2,7,2,9,4,5,2,0,0,12,3,1
59,3,146013,16,10,1,13,1,5,2,4064,0,40,3,1
26,3,378322,2,7,1,4,1,5,2,0,0,40,3,1
37,4,257295,16,10,1,5,1,2,2,0,0,75,1,2
64,3,21174,12,9,1,5,1,5,2,0,0,40,3,2
33,3,185480,10,13,2,11,2,5,1,0,0,45,3,1
33,3,222205,12,9,1,4,6,5,1,0,0,40,3,2
61,3,69867,12,9,1,5,1,5,2,0,0,40,3,2
17,3,191260,7,5,2,9,4,5,2,1055,0,24,3,1
50,4,30653,13,14,1,6,1,5,2,2407,0,98,3,1
27,5,209109,13,14,2,11,4,5,2,0,0,35,3,1
30,3,70377,12,9,3,11,4,5,1,0,0,40,3,1
43,3,477983,12,9,1,7,1,3,2,0,0,40,3,1
44,3,170924,16,10,1,4,1,5,2,7298,0,40,3,2
35,3,190174,16,10,2,5,2,5,1,0,0,40,3,1
25,3,193787,16,10,2,14,4,5,1,0,0,40,3,1
24,3,279472,16,10,1,8,6,5,1,7298,0,48,3,2
22,3,34918,10,13,2,11,2,5,1,0,0,15,2,1
42,5,97688,16,10,1,4,1,5,2,5178,0,40,3,2
34,3,175413,8,12,3,13,5,3,1,0,0,45,3,1
60,3,173960,10,13,3,11,2,5,1,0,0,42,3,1
21,3,205759,12,9,2,7,4,5,2,0,0,40,3,1
57,2,425161,13,14,1,13,1,5,2,15024,0,40,3,2
41,3,220531,15,15,1,11,1,5,2,0,0,60,3,2
50,3,176609,16,10,3,9,2,5,2,0,0,45,3,1
25,3,371987,10,13,2,5,2,5,1,0,0,40,3,1
50,3,193884,6,4,1,4,1,5,2,0,0,40,5,1
36,3,200352,10,13,1,11,1,5,2,0,0,45,3,1
31,3,127595,12,9,3,11,2,5,1,0,0,40,3,1
29,5,220419,10,13,2,12,2,5,2,0,0,56,3,1
21,3,231931,16,10,2,13,4,5,2,0,0,45,3,1
27,3,248402,10,13,2,14,5,3,1,0,0,40,3,1
65,3,111095,12,9,1,15,1,5,2,0,0,16,3,1
37,4,57424,10,13,3,13,2,5,1,0,0,60,3,1
24,3,278130,12,9,2,4,4,5,2,0,0,40,3,1
38,3,169469,12,9,3,13,2,5,2,0,0,80,3,1
48,3,146268,10,13,1,2,1,5,2,7688,0,40,3,2
21,3,153718,16,10,2,9,2,2,1,0,0,25,3,1
31,3,217460,12,9,1,15,1,5,2,0,0,45,3,2
55,3,238638,12,9,1,13,1,5,2,4386,0,40,3,2
24,3,303296,16,10,1,2,6,2,1,0,0,40,1,1
43,3,173321,12,9,3,2,2,5,1,0,0,40,3,1
26,3,193945,8,12,2,14,2,5,2,0,0,45,3,1
46,3,83082,8,12,2,11,2,5,1,0,0,33,3,1
35,3,193815,8,12,1,2,1,5,2,0,0,40,3,2
41,4,34987,16,10,1,6,1,5,2,0,0,54,3,2
26,3,59306,10,13,2,13,2,5,2,0,0,40,3,1
34,3,142897,13,14,1,5,1,2,2,7298,0,35,1,2
36,4,205607,10,13,3,11,2,3,1,0,0,40,3,2
22,3,199698,16,10,2,13,4,5,2,0,0,15,3,1
24,3,191954,16,10,2,8,2,5,2,0,0,40,3,1
77,4,138714,16,10,1,13,1,5,2,0,0,40,3,1
22,3,399087,5,3,1,8,3,5,1,0,0,40,3,1
29,3,423158,16,10,2,14,2,5,1,0,0,40,3,1
62,3,159841,12,9,3,9,2,5,1,0,0,24,3,1
39,4,174308,12,9,1,5,1,5,2,0,0,40,3,1
43,3,50356,16,10,1,4,1,5,2,0,1485,50,3,1
35,3,186110,12,9,3,15,2,5,2,0,0,45,3,1
29,3,200381,2,7,2,5,2,5,1,0,0,40,3,1
76,4,174309,13,14,1,4,1,5,2,0,0,10,3,1
63,4,78383,12,9,1,6,1,5,2,0,0,45,3,1
43,3,187728,16,10,1,11,6,5,1,0,1887,50,3,2
58,4,321171,12,9,1,7,1,5,2,0,0,40,3,1
66,3,127921,12,9,2,15,2,5,2,2050,0,55,3,1
41,3,206565,16,10,2,4,2,3,2,0,0,45,3,1
26,3,224563,10,13,2,2,2,5,2,0,0,40,3,1
47,3,178686,9,11,2,9,2,5,2,0,0,40,3,1
55,5,98545,1,6,1,2,1,5,2,0,0,40,3,1
53,3,242606,12,9,1,15,1,5,2,0,0,40,3,1
17,3,270942,5,3,2,9,3,5,2,0,0,48,3,1
30,3,94235,12,9,2,4,3,5,2,0,0,40,3,1
49,3,71195,13,14,2,11,2,5,2,0,0,60,3,1
19,3,104112,12,9,2,13,5,3,2,0,0,30,3,1
45,3,261192,12,9,1,9,1,3,2,0,0,40,3,1
26,3,94936,8,12,2,13,2,5,2,0,0,40,3,1
38,3,296478,9,11,1,4,1,5,2,7298,0,40,3,2
36,5,119272,12,9,1,12,1,5,2,7298,0,40,3,2
33,3,85043,12,9,2,6,2,5,2,0,0,20,3,1
22,5,293364,16,10,2,12,4,3,1,0,0,40,3,1
43,4,241895,10,13,2,13,2,5,2,0,0,42,3,1
56,3,101128,8,12,1,9,2,5,2,0,0,25,1,1
31,3,156464,10,13,2,11,4,5,2,0,0,25,3,1
33,3,117963,10,13,1,5,1,5,2,0,0,40,3,2
26,3,192262,12,9,1,9,1,5,2,0,0,40,3,1
33,3,111363,10,13,1,5,1,5,2,0,0,40,3,2
46,5,329752,2,7,1,15,1,5,2,0,0,30,3,1
38,2,95432,12,9,1,2,1,5,2,0,0,40,3,2
65,3,161400,2,7,3,9,5,4,2,0,0,40,3,1
40,3,96129,9,11,1,14,1,5,2,0,0,40,3,2
42,3,111949,12,9,1,2,6,5,1,0,0,35,3,1
26,4,117125,7,5,1,4,1,5,2,0,0,40,2,1
36,3,348022,1,6,1,9,6,5,1,0,0,24,3,1
62,3,270092,13,14,1,11,1,5,2,0,0,40,3,2
43,3,180609,10,13,1,15,1,5,2,0,0,45,3,1
43,3,174575,10,13,3,5,2,5,2,0,1564,45,3,2
22,3,410439,12,9,1,13,2,5,2,0,0,55,3,1
28,3,92262,12,9,1,4,1,5,2,0,0,40,3,1
56,4,183081,16,10,1,13,1,5,2,0,0,45,3,1
22,3,362589,8,12,2,13,2,5,1,0,0,15,3,1
57,3,212448,10,13,3,5,2,5,1,0,0,45,3,2
39,3,481060,12,9,3,13,5,5,1,0,0,40,3,1
26,2,185885,16,10,2,2,5,5,1,0,0,15,3,1
17,3,89821,2,7,2,9,4,5,2,0,0,10,3,1
40,5,184018,9,11,1,8,1,5,2,0,0,38,3,2
45,3,256649,12,9,1,8,1,3,2,0,0,40,3,1
44,3,160323,12,9,2,4,2,3,2,0,0,40,3,1
20,5,350845,16,10,2,2,4,5,1,0,0,10,3,1
33,3,267404,12,9,1,4,6,5,1,0,0,40,3,1
23,3,35633,16,10,2,13,2,5,2,0,0,40,3,1
46,4,80914,13,14,3,5,2,5,2,0,0,30,3,1
38,3,172927,12,9,1,13,1,5,2,0,0,50,3,1
54,3,174319,12,9,3,15,2,5,2,0,0,40,3,1
46,3,214955,5,3,3,4,2,5,1,0,2339,45,3,1
25,3,344991,16,10,1,4,1,5,2,0,0,40,3,1
46,3,108699,16,10,3,13,2,5,1,0,0,40,3,1
36,5,117312,16,10,1,15,6,5,1,0,0,40,3,1
23,3,396099,12,9,2,9,2,5,1,0,0,25,3,1
29,3,134152,12,9,3,8,2,5,2,0,0,40,3,1
44,3,162028,16,10,1,2,6,5,1,0,2415,6,3,2
19,3,25429,16,10,2,2,4,5,1,0,0,16,3,1
19,3,232392,12,9,2,9,3,5,1,0,0,40,3,1
35,3,220098,12,9,1,9,6,5,1,0,0,40,3,2
27,3,301302,10,13,2,4,2,5,2,0,0,50,3,1
46,4,277946,8,12,3,4,2,5,2,0,0,40,3,1
34,5,98101,10,13,1,5,1,5,2,7688,0,45,4,2
34,3,196164,12,9,2,9,2,5,1,0,0,35,3,1
44,3,115562,16,10,1,14,1,5,2,0,0,40,3,1
45,3,96975,16,10,3,7,5,5,1,0,0,40,3,1
25,3,86872,10,13,1,5,1,5,2,0,0,55,3,2
52,4,132178,10,13,1,5,1,5,2,0,0,50,3,2
20,3,416103,16,10,2,7,4,5,2,0,0,40,3,1
28,3,108574,16,10,2,9,2,5,1,0,0,40,3,1
50,5,288353,10,13,1,12,1,5,2,0,0,40,3,2
34,3,227689,9,11,3,14,2,5,1,0,0,64,3,1
28,3,166481,6,4,1,7,1,4,2,0,2179,40,3,1
41,3,445382,13,14,1,5,1,5,2,0,1977,65,3,2
28,3,110145,12,9,1,2,1,5,2,0,0,40,3,1
46,4,317253,12,9,1,4,1,5,2,0,0,25,3,1
32,3,364657,16,10,1,5,1,5,2,0,0,50,3,1
41,5,42346,16,10,3,9,2,3,1,0,0,24,3,1
24,3,241951,12,9,2,7,5,3,1,0,0,40,3,1
33,3,118500,16,10,3,5,5,5,1,0,0,40,3,1
46,3,188386,11,16,1,5,1,5,2,15024,0,60,3,2
31,5,1033222,16,10,1,8,1,5,2,0,0,40,3,1
35,3,92440,3,8,3,4,2,5,2,0,0,50,3,2
52,3,190762,4,2,1,8,1,5,2,0,0,40,3,1
30,3,426017,2,7,2,9,4,5,1,0,0,19,3,1
34,5,243867,2,7,3,8,2,3,2,0,0,40,3,1
34,5,240283,12,9,3,15,5,5,1,0,0,40,3,1
20,3,61777,16,10,1,13,1,5,2,0,0,30,3,1
17,3,175024,2,7,2,7,4,5,2,2176,0,18,3,1
32,5,92003,10,13,1,5,6,5,1,0,0,40,3,2
29,3,188401,12,9,3,6,2,5,2,0,0,40,3,1
33,3,228528,1,6,2,4,5,5,1,0,0,35,3,1
25,3,133373,12,9,1,15,1,5,2,0,0,60,3,1
36,2,255191,13,14,2,11,2,5,2,0,1408,40,3,1
23,3,204653,12,9,2,7,2,5,2,0,0,72,3,1
63,4,222289,12,9,1,5,1,5,2,0,0,40,3,2
47,5,287480,13,14,1,11,1,5,2,0,0,40,3,1
40,4,204116,10,13,1,11,2,5,1,2174,0,40,3,1
30,3,29662,8,12,1,9,6,5,1,0,0,25,3,2
27,3,116358,16,10,2,4,4,2,2,0,1980,40,1,1
33,3,208405,13,14,1,11,1,5,2,0,0,50,3,2
34,5,284843,12,9,2,6,2,3,2,594,0,60,3,1
34,5,117018,16,10,2,12,2,5,1,0,0,40,3,1
23,3,81281,16,10,1,2,1,5,2,0,0,40,3,1
42,5,340148,16,10,1,2,6,5,1,0,0,40,3,1
29,3,363425,10,13,2,11,2,5,2,0,0,40,3,1
45,3,45857,12,9,3,2,2,5,1,0,0,28,3,1
24,2,191073,12,9,2,3,4,5,2,0,0,40,3,1
44,3,116632,16,10,1,11,1,5,2,0,0,40,3,2
27,3,405855,7,5,2,4,3,5,2,0,0,40,3,1
20,3,298227,16,10,2,13,2,5,2,0,0,35,3,1
44,3,290521,12,9,3,5,5,3,1,0,0,40,3,1
51,3,56915,12,9,1,4,1,1,2,0,0,40,3,1
20,3,146538,12,9,1,8,1,5,2,0,0,40,3,1
19,3,206399,12,9,2,8,4,3,1,0,0,40,3,1
45,4,197332,16,10,1,4,1,5,2,0,0,55,3,2
60,3,245062,12,9,1,4,1,5,2,0,0,40,3,2
42,3,197583,8,12,1,5,1,3,2,0,0,40,4,2
44,4,234885,12,9,1,13,6,5,1,0,0,40,3,2
40,3,72887,9,11,1,8,1,2,2,0,0,40,3,2
30,3,180374,12,9,1,5,6,5,1,0,0,40,3,1
38,3,351299,16,10,1,15,1,3,2,0,0,50,3,1
23,3,54012,12,9,1,15,1,5,2,0,0,60,3,1
44,3,116632,8,12,2,6,4,5,2,0,0,40,3,1
54,5,288825,12,9,1,15,1,3,2,0,0,40,3,1
32,3,132601,10,13,1,11,1,5,2,0,0,50,3,1
50,3,193374,4,2,1,4,5,5,2,0,0,40,3,1
24,3,170070,10,13,2,14,2,5,1,0,0,20,3,1
37,3,126708,12,9,1,2,6,5,1,0,0,60,3,1
52,3,35598,12,9,3,15,5,5,2,0,0,40,3,1
38,3,33983,16,10,1,15,1,5,2,0,0,40,3,1
49,3,192776,13,14,1,5,1,5,2,0,1977,45,3,2
30,3,118551,10,13,1,14,6,5,1,0,0,16,3,2
60,3,201965,16,10,2,11,5,5,2,0,0,40,3,2
35,3,285020,12,9,2,4,2,5,2,0,0,40,3,1
